! #lon(deg), lat(deg), depth(km), dVs(%), dVp(%), drho(%)
111.195 -5.535 5371.000 3.000 0.000 0.000
111.195 -5.535 5381.000 3.000 0.000 0.000
111.195 -5.535 5391.000 3.000 0.000 0.000
111.195 -5.535 5401.000 3.000 0.000 0.000
111.195 -5.535 5411.000 3.000 0.000 0.000
111.195 -5.535 5421.000 3.000 0.000 0.000
111.195 -5.535 5431.000 3.000 0.000 0.000
111.195 -5.535 5441.000 3.000 0.000 0.000
111.195 -5.535 5451.000 3.000 0.000 0.000
111.195 -5.535 5461.000 3.000 0.000 0.000
111.195 -5.535 5471.000 3.000 0.000 0.000
111.943 -5.535 5371.000 3.000 0.000 0.000
111.943 -5.535 5381.000 3.000 0.000 0.000
111.943 -5.535 5391.000 3.000 0.000 0.000
111.943 -5.535 5401.000 3.000 0.000 0.000
111.943 -5.535 5411.000 3.000 0.000 0.000
111.943 -5.535 5421.000 3.000 0.000 0.000
111.943 -5.535 5431.000 3.000 0.000 0.000
111.943 -5.535 5441.000 3.000 0.000 0.000
111.943 -5.535 5451.000 3.000 0.000 0.000
111.943 -5.535 5461.000 3.000 0.000 0.000
111.943 -5.535 5471.000 3.000 0.000 0.000
112.691 -5.535 5371.000 3.000 0.000 0.000
112.691 -5.535 5381.000 3.000 0.000 0.000
112.691 -5.535 5391.000 3.000 0.000 0.000
112.691 -5.535 5401.000 3.000 0.000 0.000
112.691 -5.535 5411.000 3.000 0.000 0.000
112.691 -5.535 5421.000 3.000 0.000 0.000
112.691 -5.535 5431.000 3.000 0.000 0.000
112.691 -5.535 5441.000 3.000 0.000 0.000
112.691 -5.535 5451.000 3.000 0.000 0.000
112.691 -5.535 5461.000 3.000 0.000 0.000
112.691 -5.535 5471.000 3.000 0.000 0.000
113.439 -5.535 5371.000 3.000 0.000 0.000
113.439 -5.535 5381.000 3.000 0.000 0.000
113.439 -5.535 5391.000 3.000 0.000 0.000
113.439 -5.535 5401.000 3.000 0.000 0.000
113.439 -5.535 5411.000 3.000 0.000 0.000
113.439 -5.535 5421.000 3.000 0.000 0.000
113.439 -5.535 5431.000 3.000 0.000 0.000
113.439 -5.535 5441.000 3.000 0.000 0.000
113.439 -5.535 5451.000 3.000 0.000 0.000
113.439 -5.535 5461.000 3.000 0.000 0.000
113.439 -5.535 5471.000 3.000 0.000 0.000
114.188 -5.535 5371.000 3.000 0.000 0.000
114.188 -5.535 5381.000 3.000 0.000 0.000
114.188 -5.535 5391.000 3.000 0.000 0.000
114.188 -5.535 5401.000 3.000 0.000 0.000
114.188 -5.535 5411.000 3.000 0.000 0.000
114.188 -5.535 5421.000 3.000 0.000 0.000
114.188 -5.535 5431.000 3.000 0.000 0.000
114.188 -5.535 5441.000 3.000 0.000 0.000
114.188 -5.535 5451.000 3.000 0.000 0.000
114.188 -5.535 5461.000 3.000 0.000 0.000
114.188 -5.535 5471.000 3.000 0.000 0.000
114.936 -5.535 5371.000 3.000 0.000 0.000
114.936 -5.535 5381.000 3.000 0.000 0.000
114.936 -5.535 5391.000 3.000 0.000 0.000
114.936 -5.535 5401.000 3.000 0.000 0.000
114.936 -5.535 5411.000 3.000 0.000 0.000
114.936 -5.535 5421.000 3.000 0.000 0.000
